fold	Antibiotic	genes_resist	test_edges	dev_edges	edges_in_train	confer_edges_in_train
fold_2	Tetracycline	13	1	0	12	12
fold_2	Beta-Lactam	19	3	0	16	16
fold_2	Other#SPACE#Classes	13	3	2	8	8
fold_2	Quinolones	26	3	2	21	21
fold_2	Kanamycin	9	1	1	7	7
fold_2	Amoxicillin	13	3	2	8	8
fold_2	Spectinomycin	2	1	0	1	1
fold_2	HygromycinB	1	0	0	1	1
fold_2	Rifampicin	2	0	0	2	2
fold_2	Florfenicol	3	0	1	2	2
fold_2	Bacitracin	1	0	0	1	1
fold_2	Ampicillin	1	0	0	1	1
fold_2	Cafepime	1	0	0	1	1
fold_2	Carbapenem	1	0	0	1	1
fold_2	Cefotaxime	1	1	0	0	0
fold_2	Cefoxitin	1	0	0	1	1
fold_2	Ceftazidime	1	0	0	1	1
fold_2	Ceftriaxone	1	0	0	1	1
fold_2	Cephalolecithin	1	0	0	1	1
fold_2	Cephalosporin	1	0	1	0	0
fold_2	Cephalothin	1	0	1	0	0
fold_2	Cephalothine	1	0	0	1	1
fold_2	Cephamycins	1	0	0	1	1
fold_2	Chloramphenicol	13	2	0	11	11
fold_2	Clavulanic#SPACE#Acid	1	0	1	0	0
fold_2	Cloxacillin	1	0	0	1	1
fold_2	Cotrimoxazole	1	0	0	1	1
fold_2	Moxalactam	1	0	0	1	1
fold_2	Oxacillin	1	0	0	1	1
fold_2	Penicillin	1	1	0	0	0
fold_2	Sulfamethoxazole	5	1	0	4	4
fold_2	Trimethoprim	29	9	1	19	19
fold_2	Cephalosporins	2	0	0	2	2
fold_2	Sulfonamide	4	0	1	3	3
fold_2	Erythromycin	8	2	0	6	6
fold_2	Streptogramines	1	1	0	0	0
fold_2	lincosamide	4	3	0	1	1
fold_2	Triclosan	1	0	0	1	1
fold_2	Ofloxacin	4	1	0	3	3
fold_2	Class#SPACE#I#SPACE#Integron	1	0	0	1	1
fold_2	Isoniazid	1	1	0	0	0
fold_2	Quatarnary#SPACE#Ammonium#SPACE#compounds	1	0	0	1	1
fold_2	Kasugamycin	1	0	0	1	1
fold_2	Sulfanilamide	4	1	2	1	1
fold_2	Sulfisoxazole	3	0	0	3	3
fold_2	Vancomycin	6	2	0	4	4
fold_2	Fosmidomycin	1	0	0	1	1
fold_3	Aminoglycosides	91	21	7	63	63
fold_3	Gentamicin	48	14	3	31	31
fold_3	Streptomycin	270	22	10	64	64
fold_3	Phenicols	20	2	3	15	15
fold_3	Multiple#SPACE#Antibiotics	34	7	4	23	23
fold_3	Ciprofloxacin	57	11	5	41	41
fold_3	Fosfomycin	7	1	1	5	5
fold_3	Nalidixic#SPACE#Acid	12	1	2	9	9
fold_3	Colistin	11	0	0	11	11
fold_3	Macrolides	6	1	1	4	4
fold_3	Acriflavine	1	1	0	0	0
fold_3	Doxorubicin	1	0	0	1	1
fold_3	Norfloxacin	1	0	0	1	1
fold_3	Tetracycline	13	2	1	10	10
fold_3	Beta-Lactam	19	2	0	17	17
fold_3	Other#SPACE#Classes	13	2	2	9	9
fold_3	Quinolones	26	4	0	22	22
fold_3	Kanamycin	9	0	1	8	8
fold_3	Amoxicillin	13	1	1	11	11
fold_3	Spectinomycin	2	0	0	2	2
fold_3	HygromycinB	1	0	0	1	1
fold_3	Rifampicin	2	0	1	1	1
fold_3	Florfenicol	3	0	1	2	2
fold_3	Bacitracin	1	0	0	1	1
fold_3	Ampicillin	1	0	1	0	0
fold_3	Cafepime	1	1	0	0	0
fold_3	Carbapenem	1	0	0	1	1
fold_3	Cefotaxime	1	0	0	1	1
fold_3	Cefoxitin	1	1	0	0	0
fold_3	Ceftazidime	1	0	0	1	1
fold_3	Ceftriaxone	1	0	0	1	1
fold_3	Cephalolecithin	1	0	0	1	1
fold_3	Cephalosporin	1	1	0	0	0
fold_3	Cephalothin	1	1	0	0	0
fold_3	Cephalothine	1	0	0	1	1
fold_3	Cephamycins	1	0	0	1	1
fold_3	Chloramphenicol	13	3	0	10	10
fold_3	Clavulanic#SPACE#Acid	1	0	0	1	1
fold_3	Cloxacillin	1	0	0	1	1
fold_3	Cotrimoxazole	1	0	0	1	1
fold_3	Moxalactam	1	0	0	1	1
fold_3	Oxacillin	1	0	0	1	1
fold_3	Penicillin	1	0	0	1	1
fold_3	Sulfamethoxazole	5	1	0	4	4
fold_3	Trimethoprim	29	6	3	20	20
fold_3	Cephalosporins	2	1	0	1	1
fold_3	Sulfonamide	4	2	0	2	2
fold_3	Erythromycin	8	3	0	5	5
fold_3	Streptogramines	1	0	0	1	1
fold_3	lincosamide	4	0	0	4	4
fold_3	Triclosan	1	1	0	0	0
fold_3	Ofloxacin	4	1	0	3	3
fold_3	Class#SPACE#I#SPACE#Integron	1	0	0	1	1
fold_3	Isoniazid	1	0	0	1	1
fold_3	Quatarnary#SPACE#Ammonium#SPACE#compounds	1	1	0	0	0
fold_3	Kasugamycin	1	0	0	1	1
fold_3	Sulfanilamide	4	2	0	2	2
fold_3	Sulfisoxazole	3	0	0	3	3
fold_3	Vancomycin	6	2	1	3	3
fold_3	Fosmidomycin	1	0	0	1	1
fold_4	Aminoglycosides	91	19	10	62	62
fold_4	Gentamicin	48	8	2	38	38
fold_4	Streptomycin	270	16	13	67	67
fold_4	Phenicols	20	5	1	14	14
fold_4	Multiple#SPACE#Antibiotics	34	6	3	25	25
fold_4	Ciprofloxacin	57	18	4	35	35
fold_4	Fosfomycin	7	2	0	5	5
fold_4	Nalidixic#SPACE#Acid	12	3	0	9	9
fold_4	Colistin	11	1	4	6	6
fold_4	Macrolides	6	0	0	6	6
fold_4	Acriflavine	1	0	0	1	1
fold_4	Doxorubicin	1	0	0	1	1
fold_4	Norfloxacin	1	0	1	0	0
fold_4	Tetracycline	13	2	1	10	10
fold_4	Beta-Lactam	19	7	0	12	12
fold_4	Other#SPACE#Classes	13	3	1	9	9
fold_4	Quinolones	26	8	1	17	17
fold_4	Kanamycin	9	1	0	8	8
fold_4	Amoxicillin	13	2	1	10	10
fold_4	Spectinomycin	2	0	1	1	1
fold_4	HygromycinB	1	1	0	0	0
fold_4	Rifampicin	2	0	0	2	2
fold_4	Florfenicol	3	0	0	3	3
fold_4	Bacitracin	1	0	0	1	1
fold_4	Ampicillin	1	1	0	0	0
fold_4	Cafepime	1	0	0	1	1
fold_4	Carbapenem	1	0	0	1	1
fold_4	Cefotaxime	1	0	0	1	1
fold_4	Cefoxitin	1	0	0	1	1
fold_4	Ceftazidime	1	0	1	0	0
fold_4	Ceftriaxone	1	0	0	1	1
fold_4	Cephalolecithin	1	0	0	1	1
fold_4	Cephalosporin	1	0	0	1	1
fold_4	Cephalothin	1	0	0	1	1
fold_4	Cephalothine	1	0	0	1	1
fold_4	Cephamycins	1	0	0	1	1
fold_4	Chloramphenicol	13	2	1	10	10
fold_4	Clavulanic#SPACE#Acid	1	0	0	1	1
fold_4	Cloxacillin	1	1	0	0	0
fold_4	Cotrimoxazole	1	0	0	1	1
fold_4	Moxalactam	1	0	0	1	1
fold_4	Oxacillin	1	1	0	0	0
fold_4	Penicillin	1	0	0	1	1
fold_4	Sulfamethoxazole	5	1	0	4	4
fold_4	Trimethoprim	29	3	1	25	25
fold_4	Cephalosporins	2	0	0	2	2
fold_4	Sulfonamide	4	0	0	4	4
fold_4	Erythromycin	8	2	0	6	6
fold_4	Streptogramines	1	0	0	1	1
fold_4	lincosamide	4	1	0	3	3
fold_4	Triclosan	1	0	1	0	0
fold_4	Ofloxacin	4	1	0	3	3
fold_4	Class#SPACE#I#SPACE#Integron	1	0	0	1	1
fold_4	Isoniazid	1	0	0	1	1
fold_4	Quatarnary#SPACE#Ammonium#SPACE#compounds	1	0	0	1	1
fold_4	Kasugamycin	1	0	0	1	1
fold_4	Sulfanilamide	4	0	0	4	4
fold_4	Sulfisoxazole	3	2	0	1	1
fold_4	Vancomycin	6	1	0	5	5
fold_4	Fosmidomycin	1	0	1	0	0
final	Aminoglycosides	91	4883		91	91
final	Gentamicin	48	4926		48	48
final	Streptomycin	270	4704		96	96
final	Phenicols	20	4954		20	20
final	Multiple#SPACE#Antibiotics	34	4940		34	34
final	Ciprofloxacin	57	4844		57	57
final	Fosfomycin	7	4967		7	7
final	Nalidixic#SPACE#Acid	12	4962		12	12
final	Colistin	11	4963		11	11
final	Macrolides	6	4968		6	6
final	Acriflavine	1	4973		1	1
final	Doxorubicin	1	4973		1	1
final	Norfloxacin	1	4973		1	1
final	Tetracycline	13	4961		13	13
final	Beta-Lactam	19	4955		19	19
final	Other#SPACE#Classes	13	4961		13	13
final	Quinolones	26	4948		26	26
final	Kanamycin	9	4965		9	9
final	Amoxicillin	13	4961		13	13
final	Spectinomycin	2	4972		2	2
final	HygromycinB	1	4973		1	1
final	Rifampicin	2	4972		2	2
final	Florfenicol	3	4971		3	3
final	Bacitracin	1	4973		1	1
final	Ampicillin	1	4973		1	1
final	Cafepime	1	4973		1	1
final	Carbapenem	1	4973		1	1
final	Cefotaxime	1	4973		1	1
final	Cefoxitin	1	4973		1	1
final	Ceftazidime	1	4973		1	1
final	Ceftriaxone	1	4973		1	1
final	Cephalolecithin	1	4973		1	1
final	Cephalosporin	1	4973		1	1
final	Cephalothin	1	4973		1	1
final	Cephalothine	1	4973		1	1
final	Cephamycins	1	4973		1	1
final	Chloramphenicol	13	4961		13	13
final	Clavulanic#SPACE#Acid	1	4973		1	1
final	Cloxacillin	1	4973		1	1
final	Cotrimoxazole	1	4973		1	1
final	Moxalactam	1	4973		1	1
final	Oxacillin	1	4973		1	1
final	Penicillin	1	4973		1	1
final	Sulfamethoxazole	5	4969		5	5
final	Trimethoprim	29	4945		29	29
final	Cephalosporins	2	4972		2	2
final	Sulfonamide	4	4970		4	4
final	Erythromycin	8	4966		8	8
final	Streptogramines	1	4973		1	1
final	lincosamide	4	4970		4	4
final	Triclosan	1	4973		1	1
final	Ofloxacin	4	4970		4	4
final	Class#SPACE#I#SPACE#Integron	1	4973		1	1
final	Isoniazid	1	4973		1	1
final	Quatarnary#SPACE#Ammonium#SPACE#compounds	1	4973		1	1
final	Kasugamycin	1	4973		1	1
final	Sulfanilamide	4	4970		4	4
final	Sulfisoxazole	3	4971		3	3
final	Vancomycin	6	4968		6	6
final	Fosmidomycin	1	4973		1	1
