"old_names","new_names"
"ion transmembrane transport","ion transmembrane transport"
"carboxylic acid transport","carboxylic acid transport"
"anion transport","anion transport"
"dicarboxylic acid transport","dicarboxylic acid transport"
"ion transport","ion transport"
"anion transmembrane transport","anion transmembrane transport"
"succinate transmembrane transport","succinate transmembrane transport"
"succinate transport","succinate transport"
"organic anion transport","organic anion transport"
"acetate transport","acetate transport"
"monocarboxylic acid transport","monocarboxylic acid transport"
"acetate transmembrane transport","acetate transmembrane transport"
"secondary active monocarboxylate transmembrane transporter activity","secondary active monocarboxylate transmembrane transporter activity"
"proton transmembrane transporter activity","proton transmembrane transporter activity"
"active transmembrane transporter activity","active transmembrane transporter activity"
"ion transmembrane transporter activity","ion transmembrane transporter activity"
"solute:proton symporter activity","solute:proton symporter activity"
"solute:cation symporter activity","solute:cation symporter activity"
"cation transmembrane transporter activity","cation transmembrane transporter activity"
"symporter activity","symporter activity"
"secondary active transmembrane transporter activity","secondary active transmembrane transporter activity"
"inorganic ion transmembrane transport","inorganic ion transmembrane transport"
"monocarboxylic acid transmembrane transporter activity","monocarboxylic acid transmembrane transporter activity"
"inorganic cation transmembrane transporter activity","inorganic cation transmembrane transporter activity"
"cation transport","cation transport"
"cation transmembrane transport","cation transmembrane transport"
"acetate transmembrane transporter activity","acetate transmembrane transporter activity"
"acetate:proton symporter activity","acetate:proton symporter activity"
"active ion transmembrane transporter activity","active ion transmembrane transporter activity"
"acetate:cation symporter activity","acetate:cation symporter activity"
"proton transmembrane transport","proton transmembrane transport"
"organic anion transmembrane transporter activity","organic anion transmembrane transporter activity"
"inorganic cation transmembrane transport","inorganic cation transmembrane transport"
"anion transmembrane transporter activity","anion transmembrane transporter activity"
"inorganic molecular entity transmembrane transporter activity","inorganic molecular entity transmembrane transporter activity"
"cellular transition metal ion homeostasis","cellular transition metal ion homeostasis"
"iron ion homeostasis","iron ion homeostasis"
"transition metal ion homeostasis","transition metal ion homeostasis"
"chemical homeostasis","chemical homeostasis"
"cellular iron ion homeostasis","cellular iron ion homeostasis"
"inorganic ion homeostasis","inorganic ion homeostasis"
"cellular localization","cellular localization"
"transition metal ion transport","transition metal ion transport"
"import into cell","import into cell"
"siderophore-dependent iron import into cell","siderophore-dependent iron import into cell"
"iron import into cell","iron import into cell"
"metal ion transport","metal ion transport"
"establishment of localization in cell","establishment of localization in cell"
"cellular cation homeostasis","cellular cation homeostasis"
"cellular chemical homeostasis","cellular chemical homeostasis"
"biological regulation","biological regulation"
"cellular homeostasis","cellular homeostasis"
"regulation of biological quality","regulation of biological quality"
"metal ion homeostasis","metal ion homeostasis"
"cellular metal ion homeostasis","cellular metal ion homeostasis"
"iron coordination entity transport","iron coordination entity transport"
"cation homeostasis","cation homeostasis"
"cellular ion homeostasis","cellular ion homeostasis"
"biological attribute","biological attribute"
"homeostatic process","homeostatic process"
"iron ion transport","iron ion transport"
"ion homeostasis","ion homeostasis"
"quality","quality"
"macromolecule biosynthetic process","macromolecule biosynthetic process"
"macromolecule metabolic process","macromolecule metabolic process"
"RNA metabolic process","RNA metabolic process"
"nucleic acid metabolic process","nucleic acid metabolic process"
"transcription, DNA-templated","transcription, DNA-templated"
"DNA-templated transcription, elongation","DNA-templated transcription, elongation"
"gene expression","gene expression"
"RNA biosynthetic process","RNA biosynthetic process"
"nucleic acid-templated transcription","nucleic acid-templated transcription"
"regulation of macromolecule metabolic process","regulation of macromolecule metabolic process"
"regulation of gene expression","regulation of gene expression"
"regulation of metabolic process","regulation of metabolic process"
"regulation of biological process","regulation of biological process"
"regulation of nucleobase-containing compound metabolic process","regulation of nucleobase-containing compound metabolic process"
"regulation of protein-containing complex disassembly","regulation of protein-containing complex disassembly"
"regulation of nitrogen compound metabolic process","regulation of nitrogen compound metabolic process"
"regulation of nucleic acid-templated transcription","regulation of nucleic acid-templated transcription"
"regulation of cellular process","regulation of cellular process"
"transcription antitermination factor activity, RNA binding","transcription antitermination factor activity, RNA binding"
"regulation of macromolecule biosynthetic process","regulation of macromolecule biosynthetic process"
"transcription regulator activity","transcription regulator activity"
"regulation of DNA-templated transcription, termination","regulation of DNA-templated transcription, termination"
"regulation of cellular component organization","regulation of cellular component organization"
"regulation of RNA biosynthetic process","regulation of RNA biosynthetic process"
"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated"
"regulation of biosynthetic process","regulation of biosynthetic process"
"regulation of RNA metabolic process","regulation of RNA metabolic process"
"transcription antitermination","transcription antitermination"
"regulation of cellular biosynthetic process","regulation of cellular biosynthetic process"
"regulation of primary metabolic process","regulation of primary metabolic process"
"regulation of cellular metabolic process","regulation of cellular metabolic process"
"cytosol","cytosol"
"negative regulation of nitrogen compound metabolic process","negative regulation of nitrogen compound metabolic process"
"negative regulation of biological process","negative regulation of biological process"
"negative regulation of DNA-templated transcription, termination","negative regulation of DNA-templated transcription, termination"
"negative regulation of RNA biosynthetic process","negative regulation of RNA biosynthetic process"
"negative regulation of transcription, DNA-templated","negative regulation of transcription, DNA-templated"
"negative regulation of cellular component organization","negative regulation of cellular component organization"
"negative regulation of cellular process","negative regulation of cellular process"
"negative regulation of nucleobase-containing compound metabolic process","negative regulation of nucleobase-containing compound metabolic process"
"negative regulation of RNA metabolic process","negative regulation of RNA metabolic process"
"negative regulation of protein-containing complex disassembly","negative regulation of protein-containing complex disassembly"
"cellular component organization","cellular component organization"
"cellular component organization or biogenesis","cellular component organization or biogenesis"
"negative regulation of metabolic process","negative regulation of metabolic process"
"negative regulation of biosynthetic process","negative regulation of biosynthetic process"
"negative regulation of nucleic acid-templated transcription","negative regulation of nucleic acid-templated transcription"
"negative regulation of macromolecule biosynthetic process","negative regulation of macromolecule biosynthetic process"
"protein-containing complex disassembly","protein-containing complex disassembly"
"protein-containing complex organization","protein-containing complex organization"
"DNA-templated transcription, termination","DNA-templated transcription, termination"
"cellular component disassembly","cellular component disassembly"
"negative regulation of cellular biosynthetic process","negative regulation of cellular biosynthetic process"
"negative regulation of macromolecule metabolic process","negative regulation of macromolecule metabolic process"
"negative regulation of cellular metabolic process","negative regulation of cellular metabolic process"
"nucleic acid binding","nucleic acid binding"
"organic cyclic compound binding","organic cyclic compound binding"
"heterocyclic compound binding","heterocyclic compound binding"
"binding","binding"
"RNA binding","RNA binding"
"regulation of cell shape","regulation of cell shape"
"regulation of cell morphogenesis","regulation of cell morphogenesis"
"cell morphogenesis","cell morphogenesis"
"anatomical structure morphogenesis","anatomical structure morphogenesis"
"regulation of anatomical structure morphogenesis","regulation of anatomical structure morphogenesis"
"cellular component attribute","cellular component attribute"
"regulation of developmental process","regulation of developmental process"
"cell shape","cell shape"
"developmental process","developmental process"
"cell morphology","cell morphology"
"cell attribute","cell attribute"
"cell division site","cell division site"
"cell division","cell division"
"carbohydrate derivative transport","carbohydrate derivative transport"
"macromolecule transmembrane transporter activity","macromolecule transmembrane transporter activity"
"carbohydrate derivative transmembrane transporter activity","carbohydrate derivative transmembrane transporter activity"
"lipid-linked peptidoglycan transport","lipid-linked peptidoglycan transport"
"lipid-linked peptidoglycan transporter activity","lipid-linked peptidoglycan transporter activity"
"peptidoglycan transport","peptidoglycan transport"
"peptidoglycan transmembrane transporter activity","peptidoglycan transmembrane transporter activity"
"ribonucleoprotein complex binding","ribonucleoprotein complex binding"
"ribosomal large subunit binding","ribosomal large subunit binding"
"protein-containing complex binding","protein-containing complex binding"
"regulation of protein metabolic process","regulation of protein metabolic process"
"peptide metabolic process","peptide metabolic process"
"negative regulation of cellular macromolecule biosynthetic process","negative regulation of cellular macromolecule biosynthetic process"
"regulation of cellular macromolecule biosynthetic process","regulation of cellular macromolecule biosynthetic process"
"negative regulation of translation","negative regulation of translation"
"negative regulation of protein metabolic process","negative regulation of protein metabolic process"
"translation","translation"
"negative regulation of gene expression","negative regulation of gene expression"
"peptide biosynthetic process","peptide biosynthetic process"
"amide biosynthetic process","amide biosynthetic process"
"protein metabolic process","protein metabolic process"
"cellular amide metabolic process","cellular amide metabolic process"
"regulation of translation","regulation of translation"
"cellular macromolecule metabolic process","cellular macromolecule metabolic process"
"regulation of cellular amide metabolic process","regulation of cellular amide metabolic process"
"regulation of cellular protein metabolic process","regulation of cellular protein metabolic process"
"negative regulation of cellular protein metabolic process","negative regulation of cellular protein metabolic process"
"cellular macromolecule biosynthetic process","cellular macromolecule biosynthetic process"
"negative regulation of cellular amide metabolic process","negative regulation of cellular amide metabolic process"
"cellular protein metabolic process","cellular protein metabolic process"
"posttranscriptional regulation of gene expression","posttranscriptional regulation of gene expression"
"regulation of ribosome biogenesis","regulation of ribosome biogenesis"
"ribosome biogenesis","ribosome biogenesis"
"ribonucleoprotein complex biogenesis","ribonucleoprotein complex biogenesis"
"negative regulation of ribosome biogenesis","negative regulation of ribosome biogenesis"
"cellular component biogenesis","cellular component biogenesis"
"regulation of cellular component biogenesis","regulation of cellular component biogenesis"
"DNA replication","DNA replication"
"DNA-dependent DNA replication","DNA-dependent DNA replication"
"DNA polymerase III complex","DNA polymerase III complex"
"transferase complex, transferring phosphorus-containing groups","transferase complex, transferring phosphorus-containing groups"
"catalytic complex","catalytic complex"
"transferase complex","transferase complex"
"intracellular protein-containing complex","intracellular protein-containing complex"
"protein-containing complex","protein-containing complex"
"DNA polymerase complex","DNA polymerase complex"
"uronic acid metabolic process","uronic acid metabolic process"
"monosaccharide metabolic process","monosaccharide metabolic process"
"monosaccharide catabolic process","monosaccharide catabolic process"
"carbohydrate catabolic process","carbohydrate catabolic process"
"galacturonate metabolic process","galacturonate metabolic process"
"monocarboxylic acid catabolic process","monocarboxylic acid catabolic process"
"monocarboxylic acid metabolic process","monocarboxylic acid metabolic process"
"carbohydrate metabolic process","carbohydrate metabolic process"
"D-galacturonate metabolic process","D-galacturonate metabolic process"
"galacturonate catabolic process","galacturonate catabolic process"
"D-galacturonate catabolic process","D-galacturonate catabolic process"
"nucleoside phosphate binding","nucleoside phosphate binding"
"ion binding","ion binding"
"small molecule binding","small molecule binding"
"anion binding","anion binding"
"nucleotide binding","nucleotide binding"
"ATP binding","ATP binding"
"adenyl ribonucleotide binding","adenyl ribonucleotide binding"
"purine ribonucleoside triphosphate binding","purine ribonucleoside triphosphate binding"
"carbohydrate derivative binding","carbohydrate derivative binding"
"purine nucleotide binding","purine nucleotide binding"
"ribonucleotide binding","ribonucleotide binding"
"adenyl nucleotide binding","adenyl nucleotide binding"
"purine ribonucleotide binding","purine ribonucleotide binding"
"hydrolase activity, acting on ester bonds","hydrolase activity, acting on ester bonds"
"phosphoric ester hydrolase activity","phosphoric ester hydrolase activity"
"phosphatase activity","phosphatase activity"
"dephosphorylation","dephosphorylation"
"hydrolase activity","hydrolase activity"
"wide pore channel activity","wide pore channel activity"
"channel activity","channel activity"
"porin activity","porin activity"
"passive transmembrane transporter activity","passive transmembrane transporter activity"
"oligosaccharide transport","oligosaccharide transport"
"carbohydrate transport","carbohydrate transport"
"siderophore metabolic process","siderophore metabolic process"
"negative regulation of secondary metabolite biosynthetic process","negative regulation of secondary metabolite biosynthetic process"
"regulation of secondary metabolite biosynthetic process","regulation of secondary metabolite biosynthetic process"
"regulation of siderophore biosynthetic process","regulation of siderophore biosynthetic process"
"nonribosomal peptide biosynthetic process","nonribosomal peptide biosynthetic process"
"negative regulation of siderophore biosynthetic process","negative regulation of siderophore biosynthetic process"
"secondary metabolic process","secondary metabolic process"
"regulation of secondary metabolic process","regulation of secondary metabolic process"
"siderophore biosynthetic process","siderophore biosynthetic process"
"secondary metabolite biosynthetic process","secondary metabolite biosynthetic process"
"DNA-binding transcription factor activity","DNA-binding transcription factor activity"
"DNA binding","DNA binding"
"transcription regulatory region nucleic acid binding","transcription regulatory region nucleic acid binding"
"double-stranded DNA binding","double-stranded DNA binding"
"transcription cis-regulatory region binding","transcription cis-regulatory region binding"
"sequence-specific DNA binding","sequence-specific DNA binding"
"sequence-specific double-stranded DNA binding","sequence-specific double-stranded DNA binding"
"zinc ion binding","zinc ion binding"
"transition metal ion binding","transition metal ion binding"
"metal ion binding","metal ion binding"
"cation binding","cation binding"
"peptide:proton symporter activity","peptide:proton symporter activity"
"peptide transmembrane transporter activity","peptide transmembrane transporter activity"
"amide transport","amide transport"
"amide transmembrane transporter activity","amide transmembrane transporter activity"
"oligopeptide transmembrane transport","oligopeptide transmembrane transport"
"oligopeptide transmembrane transporter activity","oligopeptide transmembrane transporter activity"
"tripeptide transmembrane transporter activity","tripeptide transmembrane transporter activity"
"tripeptide transport","tripeptide transport"
"oligopeptide transport","oligopeptide transport"
"peptide transport","peptide transport"
"dipeptide transmembrane transporter activity","dipeptide transmembrane transporter activity"
"dipeptide transmembrane transport","dipeptide transmembrane transport"
"dipeptide transport","dipeptide transport"
"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides"
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
"pyrophosphatase activity","pyrophosphatase activity"
"UDP-sugar diphosphatase activity","UDP-sugar diphosphatase activity"
"5'-nucleotidase activity","5'-nucleotidase activity"
"nucleotidase activity","nucleotidase activity"
"aromatic compound catabolic process","aromatic compound catabolic process"
"organophosphate catabolic process","organophosphate catabolic process"
"nucleoside phosphate catabolic process","nucleoside phosphate catabolic process"
"nucleotide catabolic process","nucleotide catabolic process"
"nucleobase-containing compound catabolic process","nucleobase-containing compound catabolic process"
"outer membrane-bounded periplasmic space","outer membrane-bounded periplasmic space"
"periplasmic space","periplasmic space"
"envelope","envelope"
"cell envelope","cell envelope"
"regulation of DNA-templated transcription, initiation","regulation of DNA-templated transcription, initiation"
"DNA-templated transcription, initiation","DNA-templated transcription, initiation"
"flavin-containing compound metabolic process","flavin-containing compound metabolic process"
"riboflavin metabolic process","riboflavin metabolic process"
"vitamin metabolic process","vitamin metabolic process"
"water-soluble vitamin metabolic process","water-soluble vitamin metabolic process"
"riboflavin kinase activity","riboflavin kinase activity"
"FMN biosynthetic process","FMN biosynthetic process"
"ribonucleoside monophosphate biosynthetic process","ribonucleoside monophosphate biosynthetic process"
"ribonucleotide metabolic process","ribonucleotide metabolic process"
"ribonucleotide biosynthetic process","ribonucleotide biosynthetic process"
"ribonucleoside monophosphate metabolic process","ribonucleoside monophosphate metabolic process"
"nucleoside monophosphate metabolic process","nucleoside monophosphate metabolic process"
"flavin-containing compound biosynthetic process","flavin-containing compound biosynthetic process"
"carbohydrate derivative metabolic process","carbohydrate derivative metabolic process"
"FMN metabolic process","FMN metabolic process"
"nucleoside monophosphate biosynthetic process","nucleoside monophosphate biosynthetic process"
"carbohydrate derivative biosynthetic process","carbohydrate derivative biosynthetic process"
"ribose phosphate metabolic process","ribose phosphate metabolic process"
"ribose phosphate biosynthetic process","ribose phosphate biosynthetic process"
"protein refolding","protein refolding"
"protein folding","protein folding"
"peptidyl-proline modification","peptidyl-proline modification"
"protein modification process","protein modification process"
"catalytic activity, acting on a protein","catalytic activity, acting on a protein"
"cis-trans isomerase activity","cis-trans isomerase activity"
"cellular protein modification process","cellular protein modification process"
"protein peptidyl-prolyl isomerization","protein peptidyl-prolyl isomerization"
"macromolecule modification","macromolecule modification"
"peptidyl-prolyl cis-trans isomerase activity","peptidyl-prolyl cis-trans isomerase activity"
"peptidyl-amino acid modification","peptidyl-amino acid modification"
"isomerase activity","isomerase activity"
"establishment of protein localization","establishment of protein localization"
"protein transport","protein transport"
"protein localization","protein localization"
"macromolecule localization","macromolecule localization"
"protein import","protein import"
"cell outer membrane","cell outer membrane"
"external encapsulating structure","external encapsulating structure"
"outer membrane","outer membrane"
"thiamine binding","thiamine binding"
"sulfur compound binding","sulfur compound binding"
"alcohol binding","alcohol binding"
"vitamin binding","vitamin binding"
"organic cation transport","organic cation transport"
"sulfur compound transport","sulfur compound transport"
"thiamine transport","thiamine transport"
"vitamin transport","vitamin transport"
"thiamine pyrophosphate binding","thiamine pyrophosphate binding"
"quaternary ammonium group binding","quaternary ammonium group binding"
"efflux transmembrane transporter activity","efflux transmembrane transporter activity"
"xenobiotic export","xenobiotic export"
"response to chemical","response to chemical"
"response to toxic substance","response to toxic substance"
"xenobiotic detoxification by transmembrane export across the plasma membrane","xenobiotic detoxification by transmembrane export across the plasma membrane"
"detoxification","detoxification"
"xenobiotic transport","xenobiotic transport"
"export across plasma membrane","export across plasma membrane"
"export from cell","export from cell"
"response to stimulus","response to stimulus"
"monocarboxylic acid binding","monocarboxylic acid binding"
"organic acid binding","organic acid binding"
"penicillin binding","penicillin binding"
"carboxylic acid binding","carboxylic acid binding"
"amide binding","amide binding"
"cell wall organization or biogenesis","cell wall organization or biogenesis"
"cell wall organization","cell wall organization"
"external encapsulating structure organization","external encapsulating structure organization"
"cytoplasmic side of membrane","cytoplasmic side of membrane"
"side of membrane","side of membrane"
"cytoplasmic side of plasma membrane","cytoplasmic side of plasma membrane"
"cell motility","cell motility"
"localization of cell","localization of cell"
"locomotion","locomotion"
"movement of cell or subcellular component","movement of cell or subcellular component"
"type IV pilus-dependent motility","type IV pilus-dependent motility"
"pilus assembly","pilus assembly"
"cell projection assembly","cell projection assembly"
"cell projection organization","cell projection organization"
"cellular component assembly","cellular component assembly"
"type IV pilus assembly","type IV pilus assembly"
"pilus organization","pilus organization"
"type IV pilus","type IV pilus"
"pilus","pilus"
"cell projection","cell projection"
"carboxypeptidase activity","carboxypeptidase activity"
"serine-type peptidase activity","serine-type peptidase activity"
"serine-type carboxypeptidase activity","serine-type carboxypeptidase activity"
"peptidase activity","peptidase activity"
"exopeptidase activity","exopeptidase activity"
"serine hydrolase activity","serine hydrolase activity"
"proteolysis","proteolysis"
"peptidoglycan L,D-transpeptidase activity","peptidoglycan L,D-transpeptidase activity"
"serine-type exopeptidase activity","serine-type exopeptidase activity"
"peptidoglycan-based cell wall biogenesis","peptidoglycan-based cell wall biogenesis"
"peptidoglycan biosynthetic process","peptidoglycan biosynthetic process"
"cell wall macromolecule metabolic process","cell wall macromolecule metabolic process"
"glycosaminoglycan biosynthetic process","glycosaminoglycan biosynthetic process"
"cell wall macromolecule biosynthetic process","cell wall macromolecule biosynthetic process"
"aminoglycan metabolic process","aminoglycan metabolic process"
"aminoglycan biosynthetic process","aminoglycan biosynthetic process"
"cellular component macromolecule biosynthetic process","cellular component macromolecule biosynthetic process"
"glycosaminoglycan metabolic process","glycosaminoglycan metabolic process"
"cell wall biogenesis","cell wall biogenesis"
"peptidoglycan metabolic process","peptidoglycan metabolic process"
"peptidoglycan-protein cross-linking","peptidoglycan-protein cross-linking"
"magnesium ion binding","magnesium ion binding"
"protein autoprocessing","protein autoprocessing"
"protein processing","protein processing"
"protein maturation","protein maturation"
"omega peptidase activity","omega peptidase activity"
"beta-aspartyl-peptidase activity","beta-aspartyl-peptidase activity"
"threonine-type peptidase activity","threonine-type peptidase activity"
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"
"asparaginase activity","asparaginase activity"
"molecular function regulator","molecular function regulator"
"regulation of catalytic activity","regulation of catalytic activity"
"enzyme activator activity","enzyme activator activity"
"enzyme regulator activity","enzyme regulator activity"
"regulation of molecular function","regulation of molecular function"
"DNA repair","DNA repair"
"regulation of DNA repair","regulation of DNA repair"
"regulation of response to stress","regulation of response to stress"
"regulation of cellular response to stress","regulation of cellular response to stress"
"regulation of DNA metabolic process","regulation of DNA metabolic process"
"regulation of response to stimulus","regulation of response to stimulus"
"cellular response to stress","cellular response to stress"
"regulation of response to DNA damage stimulus","regulation of response to DNA damage stimulus"
"cellular response to DNA damage stimulus","cellular response to DNA damage stimulus"
"DNA metabolic process","DNA metabolic process"
"response to stress","response to stress"
"cellular response to stimulus","cellular response to stimulus"
"DNA geometric change","DNA geometric change"
"ATP-dependent activity, acting on DNA","ATP-dependent activity, acting on DNA"
"catalytic activity, acting on DNA","catalytic activity, acting on DNA"
"helicase activity","helicase activity"
"organelle organization","organelle organization"
"DNA helicase activity","DNA helicase activity"
"chromosome organization","chromosome organization"
"ATP-dependent activity","ATP-dependent activity"
"DNA duplex unwinding","DNA duplex unwinding"
"DNA conformation change","DNA conformation change"
"single-stranded DNA helicase activity","single-stranded DNA helicase activity"
"catalytic activity, acting on a nucleic acid","catalytic activity, acting on a nucleic acid"
"nucleotidyltransferase activity","nucleotidyltransferase activity"
"phosphatidate cytidylyltransferase activity","phosphatidate cytidylyltransferase activity"
"cytidylyltransferase activity","cytidylyltransferase activity"
"phospholipid biosynthetic process","phospholipid biosynthetic process"
"lipid biosynthetic process","lipid biosynthetic process"
"glycerolipid biosynthetic process","glycerolipid biosynthetic process"
"cellular lipid metabolic process","cellular lipid metabolic process"
"glycerophospholipid metabolic process","glycerophospholipid metabolic process"
"phospholipid metabolic process","phospholipid metabolic process"
"glycerolipid metabolic process","glycerolipid metabolic process"
"CDP-diacylglycerol metabolic process","CDP-diacylglycerol metabolic process"
"glycerophospholipid biosynthetic process","glycerophospholipid biosynthetic process"
"lipid metabolic process","lipid metabolic process"
"CDP-diacylglycerol biosynthetic process","CDP-diacylglycerol biosynthetic process"
"cellular amino acid metabolic process","cellular amino acid metabolic process"
"tRNA aminoacylation for protein translation","tRNA aminoacylation for protein translation"
"ncRNA metabolic process","ncRNA metabolic process"
"tRNA metabolic process","tRNA metabolic process"
"tRNA aminoacylation","tRNA aminoacylation"
"amino acid activation","amino acid activation"
"prolyl-tRNA aminoacylation","prolyl-tRNA aminoacylation"
"aminoacyl-tRNA ligase activity","aminoacyl-tRNA ligase activity"
"proline-tRNA ligase activity","proline-tRNA ligase activity"
"catalytic activity, acting on RNA","catalytic activity, acting on RNA"
"ligase activity","ligase activity"
"catalytic activity, acting on a tRNA","catalytic activity, acting on a tRNA"
"ligase activity, forming carbon-oxygen bonds","ligase activity, forming carbon-oxygen bonds"
"acyltransferase activity","acyltransferase activity"
"acyltransferase activity, transferring groups other than amino-acyl groups","acyltransferase activity, transferring groups other than amino-acyl groups"
"acetyltransferase activity","acetyltransferase activity"
"C-acyltransferase activity","C-acyltransferase activity"
"formate C-acetyltransferase activity","formate C-acetyltransferase activity"
"C-acetyltransferase activity","C-acetyltransferase activity"
"threonine catabolic process","threonine catabolic process"
"threonine metabolic process","threonine metabolic process"
"cellular amino acid catabolic process","cellular amino acid catabolic process"
"aspartate family amino acid catabolic process","aspartate family amino acid catabolic process"
"aspartate family amino acid metabolic process","aspartate family amino acid metabolic process"
