Subject	Predicate	Object	Belief	Source size	Sources	Total source size	Mean belief of conflicting tuples	Belief difference	Conflicting tuple info
cspA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('cspA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
cycA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('cycA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
cyoB	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('cyoB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
cysI	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('cysI', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
dacB	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('dacB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
dauA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('dauA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
degP	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('degP', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
dmsC	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('dmsC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
dnaE	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('dnaE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
dsdX	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('dsdX', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
dxr	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('dxr', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
entH	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('entH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
fcl	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('fcl', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
fdnH	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('fdnH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
fdoG	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('fdoG', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
fdx	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('fdx', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
feoB	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('feoB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
fhuA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('fhuA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
flgC	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('flgC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
flgK	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('flgK', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
flhB	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('flhB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
flhC	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('flhC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
flhD	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('flhD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
fliJ	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('fliJ', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
fliN	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('fliN', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
fljA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('fljA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
ftsN	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('ftsN', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
ftsQ	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('ftsQ', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
fucI	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('fucI', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
fxsA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('fxsA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
gabD	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('gabD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
galE	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('galE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
garD	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('garD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
glnD	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('glnD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
gltA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('gltA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
gltS	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('gltS', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
gmm	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('gmm', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
gntU	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('gntU', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
gshB	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('gshB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
gsiA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('gsiA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
guaC	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('guaC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
gudD	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('gudD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
hemF	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('hemF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
hemH	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('hemH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
hrpA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('hrpA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
hscC	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('hscC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
hycD	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('hycD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
idnK	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('idnK', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
ilvB	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('ilvB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
iroD	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('iroD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
iroE	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('iroE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
iroN	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('iroN', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
katG	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('katG', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
kdsA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('kdsA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
kefC	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('kefC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
ligA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('ligA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
ligT	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('ligT', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
livM	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('livM', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
lon	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('lon', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
lpfC	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('lpfC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
lptC	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('lptC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
lpxA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('lpxA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
lpxM	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('lpxM', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
macA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('macA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
malE	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('malE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
malF	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('malF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
malT	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('malT', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
manY	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('manY', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
map	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('map', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
marA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('marA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mazG	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mazG', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mdlB	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mdlB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mdoB	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mdoB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mdtI	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mdtI', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
metH	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('metH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
metK	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('metK', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mfd	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mfd', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mig-14	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mig-14', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mig-3	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mig-3', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mlaA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mlaA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mlrA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mlrA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mltF	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mltF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mnmE	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mnmE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mod	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mod', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
msbA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('msbA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mtr	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mtr', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mutH	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mutH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mutL	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mutL', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
mutS	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('mutS', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
narK	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('narK', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
narQ	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('narQ', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
nei	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('nei', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
nepI	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('nepI', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
nhoA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('nhoA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
norR	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('norR', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
nrdE	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('nrdE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
nrfE	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('nrfE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
nuoE	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('nuoE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
nuoG	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('nuoG', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
oppC	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('oppC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
otsB	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('otsB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
panF	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('panF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
parE	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('parE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
pepA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('pepA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
pfkB	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('pfkB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
phr	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('phr', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
pntA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('pntA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
ppk	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('ppk', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
priA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('priA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
