,X.1,X,EcoliGeneName,EcoliLocus,NP_Ecoli,EcoliProtein,EcoliProteinCluster,SalmonellaProtein,SalmonellaCluster,NP_Salmonella,SalmonellaGeneName,SalmonellaLocus,State
116,131,179,dnaE,b0184,NP_414726,WP_001294757.1,PCLA_209518,WP_001294826.1,PCLA_209518,NP_459236,dnaE,STM0231,MATCH
117,132,180,accA,b0185,NP_414727,WP_000055741.1,PCLA_209569,WP_000055753.1,PCLA_209569,NP_459237,accA,STM0232,MATCH
118,133,183,mesJ,b0188,NP_414730,WP_000176549.1,PCLA_430902,WP_000210056.1,PCLA_430902,NP_459241,mesJ,STM0236,MATCH
119,134,186,yaeQ,b0190,NP_414732,WP_001185290.1,PCLA_891702,WP_001185319.1,PCLA_891702,NP_459244,yaeQ,STM0239,MATCH
120,135,187,yaeJ,b0191,NP_414733,WP_000635537.1,PCLA_213083,WP_000560527.1,PCLA_213083,NP_459245,yaeJ,STM0240,MATCH
121,136,190,proS,b0194,NP_414736,WP_001260717.1,PCLA_213021,WP_001260683.1,PCLA_213021,NP_459246,proS,STM0242,MATCH
122,137,191,yaeB,b0195,NP_414737,WP_000094011.1,PCLA_879574,WP_000093986.1,PCLA_879574,NP_459247,yaeB,STM0243,MATCH
123,139,193,yaeC,b0197,NP_414739,WP_000874226.1,PCLA_431275,WP_000874215.1,PCLA_431275,NP_459249,yaeC,STM0245,MATCH
124,141,195,abc,b0199,NP_414741,WP_000594006.1,PCLA_431349,WP_000594021.1,PCLA_431349,NP_459251,abc,STM0247,MATCH
125,142,196,yaeD,b0200,NP_414742,WP_001140187.1,PCLA_419393,WP_001051726.1,PCLA_419393,NP_459252,yaeD,STM0248,MATCH
126,143,197,yafB,b0207,NP_414743,WP_000997010.1,PCLA_431362,WP_000154872.1,PCLA_431362,NP_459253,yafB,STM0255,MATCH
127,144,198,yafC,b0208,NP_414744,WP_000648572.1,PCLA_879575,WP_000648534.1,PCLA_879575,NP_459254,yafC,STM0256,MATCH
128,145,199,yafD,b0209,NP_414745,WP_001230983.1,PCLA_209293,WP_001669808.1,PCLA_209293,NP_459256,yafD,STM0258,MATCH
129,146,201,dniR,b0211,NP_414747,WP_000644685.1,PCLA_431021,WP_000644706.1,PCLA_431021,NP_459258,dniR,STM0260,MATCH
130,147,202,gloB,b0212,NP_414748,WP_001052715.1,PCLA_430516,WP_001052775.1,PCLA_430516,NP_459259,gloB,STM0261,MATCH
131,149,205,dnaQ,b0215,NP_414751,WP_001340895.1,PCLA_209556,WP_001670675.1,PCLA_209556,NP_459262,dnaQ,STM0264,MATCH
132,150,210,yafV,b0219,NP_414754,WP_001118036.1,PCLA_430699,WP_000015789.1,PCLA_430699,NP_459306,yafV,STM0308,MATCH
134,152,214,yafJ,b0223,NP_414758,WP_000333380.1,PCLA_866480,WP_000333387.1,PCLA_866480,NP_459309,yafJ,STM0311,MATCH
136,156,222,dinP,b0231,NP_414766,WP_001226164.1,PCLA_501248,WP_001226198.1,PCLA_501248,NP_459311,dinP,STM0313,MATCH
137,157,228,pepD,b0237,NP_414772,WP_001292994.1,PCLA_2846141,WP_001292977.1,PCLA_2846141,NP_459313,pepD,STM0316,MATCH
138,158,229,gpt,b0238,NP_414773,WP_001291990.1,PCLA_419492,WP_001292018.1,PCLA_419492,NP_459314,gpt,STM0317,MATCH
139,159,230,yafA,b0239,NP_414774,WP_000189532.1,PCLA_417022,WP_000189588.1,PCLA_417022,NP_459315,yafA,STM0318,MATCH
140,160,233,proB,b0242,NP_414777,WP_001285288.1,PCLA_2539533,WP_001285275.1,PCLA_2539533,NP_459318,proB,STM0321,MATCH
141,161,234,proA,b0243,NP_414778,WP_000893278.1,PCLA_932749,WP_000893231.1,PCLA_932749,NP_459319,proA,STM0322,MATCH
143,164,326,yahN,b0328,NP_414862,WP_000983410.1,PCLA_879650,WP_000433131.1,PCLA_879650,NP_459360,yahN,STM0365,MATCH
144,165,328,prpR,b0330,NP_414864,WP_000941041.1,PCLA_2912534,WP_000205278.1,PCLA_2912534,NP_459362,prpR,STM0367,MATCH
145,166,329,prpB,b0331,NP_414865,WP_000052206.1,PCLA_431452,WP_000052224.1,PCLA_431452,NP_459363,prpB,STM0368,MATCH
146,167,330,prpC,b0333,NP_414867,WP_001285927.1,PCLA_501609,WP_000132749.1,PCLA_501609,NP_459364,prpC,STM0369,MATCH
147,168,331,prpD,b0334,NP_414868,WP_001275859.1,PCLA_419570,WP_000107071.1,PCLA_419570,NP_459365,prpD,STM0370,MATCH
148,169,332,prpE,b0335,NP_414869,WP_000010288.1,PCLA_430772,WP_000010229.1,PCLA_430772,NP_459366,prpE,STM0371,MATCH
151,173,370,ampH,b0376,NP_414910,WP_000830741.1,PCLA_430904,WP_014326577.1,PCLA_430904,NP_459370,ampH,STM0375,MATCH
152,174,371,sbmA,b0377,NP_414911,WP_001301663.1,PCLA_431303,WP_000477024.1,PCLA_431303,NP_459371,sbmA,STM0376,MATCH
153,175,372,yaiW,b0378,NP_414912,WP_000092067.1,PCLA_867449,WP_001271421.1,PCLA_867449,NP_459372,yaiW,STM0377,MATCH
154,176,373,yaiY,b0379,NP_414913,WP_000763151.1,PCLA_879659,WP_000763139.1,PCLA_879659,NP_459373,yaiY,STM0378,MATCH
155,177,375,ddlA,b0381,NP_414915,WP_000413677.1,PCLA_964069,WP_001096588.1,PCLA_964069,NP_459375,ddlA,STM0380,MATCH
156,179,379,yaiC,b0385,NP_414919,WP_000484048.1,PCLA_430519,WP_000484086.1,PCLA_430519,NP_459380,yaiC,STM0385,MATCH
157,180,380,proC,b0386,NP_414920,WP_001295331.1,PCLA_432352,WP_000412195.1,PCLA_432352,NP_459381,proC,STM0386,MATCH
158,181,383,yaiA,b0389,NP_414923,WP_001142439.1,PCLA_430646,WP_001143163.1,PCLA_430646,NP_459384,yaiA,STM0389,MATCH
159,182,385,yaiE,b0391,NP_414925,WP_000941942.1,PCLA_430825,WP_000941952.1,PCLA_430825,NP_459386,yaiE,STM0391,MATCH
160,183,387,rdgC,b0393,NP_414927,WP_001298537.1,PCLA_123159,WP_000964305.1,PCLA_123159,NP_459387,rdgC,STM0392,MATCH
161,184,390,sbcC,b0397,NP_414931,WP_000698951.1,PCLA_430520,WP_001526312.1,PCLA_430520,NP_459390,sbcC,STM0395,MATCH
162,185,391,sbcD,b0398,NP_414932,WP_001221319.1,PCLA_431192,WP_001221261.1,PCLA_431192,NP_459391,sbcD,STM0396,MATCH
163,186,392,phoB,b0399,NP_414933,WP_000113933.1,PCLA_430441,WP_000113921.1,PCLA_430441,NP_459392,phoB,STM0397,MATCH
164,187,393,phoR,b0400,NP_414934,WP_000893623.1,PCLA_431225,WP_000893645.1,PCLA_431225,NP_459393,phoR,STM0398,MATCH
165,188,394,brnQ,b0401,NP_414935,WP_000149639.1,PCLA_2912543,WP_000149625.1,PCLA_2912543,NP_459394,brnQ,STM0399,MATCH
166,189,395,proY,b0402,NP_414936,WP_001295329.1,PCLA_430826,WP_001555879.1,PCLA_430826,NP_459395,proY,STM0400,MATCH
167,190,397,yajB,b0404,NP_414938,WP_001009885.1,PCLA_430334,WP_001009858.1,PCLA_430334,NP_459398,yajB,STM0403,MATCH
168,191,398,queA,b0405,NP_414939,WP_001266503.1,PCLA_414041,WP_001266530.1,PCLA_414041,NP_459399,queA,STM0404,MATCH
169,192,399,tgt,b0406,NP_414940,WP_000667319.1,PCLA_414015,WP_000667305.1,PCLA_414015,NP_459400,tgt,STM0405,MATCH
170,193,400,yajC,b0407,NP_414941,WP_000007629.1,PCLA_209430,WP_000007628.1,PCLA_209430,NP_459401,yajC,STM0406,MATCH
171,194,401,secD,b0408,NP_414942,WP_000934822.1,PCLA_417268,WP_000934806.1,PCLA_417268,NP_459402,secD,STM0407,MATCH
172,195,402,secF,b0409,NP_414943,WP_000046637.1,PCLA_3564994,WP_000046629.1,PCLA_3564994,NP_459403,secF,STM0408,MATCH
173,196,403,yajD,b0410,NP_414944,WP_000974813.1,PCLA_431443,WP_000974818.1,PCLA_431443,NP_459406,yajD,STM0411,MATCH
174,198,407,ribD,b0414,NP_414948,WP_001150457.1,PCLA_431023,WP_001150216.1,PCLA_431023,NP_459411,ribD,STM0416,MATCH
175,199,408,ribH,b0415,NP_414949,WP_001021161.1,PCLA_122916,WP_001021372.1,PCLA_122916,NP_459412,ribH,STM0417,MATCH
176,200,409,nusB,b0416,NP_414950,WP_000801125.1,PCLA_123043,WP_000801129.1,PCLA_123043,NP_459413,nusB,STM0418,MATCH
177,201,410,thiL,b0417,NP_414951,WP_000742109.1,PCLA_209576,WP_000752138.1,PCLA_209576,NP_459414,thiL,STM0419,MATCH
178,203,413,dxs,b0420,NP_414954,WP_000006797.1,PCLA_209314,WP_000006777.1,PCLA_209314,NP_459417,dxs,STM0422,MATCH
179,204,414,ispA,b0421,NP_414955,WP_000347217.1,PCLA_430827,WP_000348074.1,PCLA_430827,NP_459418,ispA,STM0423,MATCH
180,206,416,thiI,b0423,NP_414957,WP_000668662.1,PCLA_429601,WP_000668708.1,PCLA_429601,NP_459420,thiI,STM0425,MATCH
181,207,418,apbA,b0425,NP_414959,WP_000705865.1,PCLA_210365,WP_000705816.1,PCLA_210365,NP_459429,apbA,STM0434,MATCH
182,208,421,cyoE,b0428,NP_414962,WP_000971336.1,PCLA_858841,WP_000971352.1,PCLA_858841,NP_459435,cyoE,STM0439,MATCH
183,210,423,cyoC,b0430,NP_414964,WP_000179819.1,PCLA_430905,WP_000179833.1,PCLA_430905,NP_459437,cyoC,STM0441,MATCH
184,211,424,cyoB,b0431,NP_414965,WP_000467180.1,PCLA_2846132,WP_000467158.1,PCLA_2846132,NP_459438,cyoB,STM0442,MATCH
185,213,426,ampG,b0433,NP_414967,WP_000098429.1,PCLA_431229,WP_000098481.1,PCLA_431229,NP_459440,ampG,STM0444,MATCH
186,214,429,tig,b0436,NP_414970,WP_001198386.1,PCLA_3628142,WP_001198406.1,PCLA_3628142,NP_459443,tig,STM0447,MATCH
187,215,430,clpP,b0437,NP_414971,WP_000122253.1,PCLA_3297282,WP_000122257.1,PCLA_3297282,NP_459444,clpP,STM0448,MATCH
188,216,431,clpX,b0438,NP_414972,WP_000130305.1,PCLA_209217,WP_000130314.1,PCLA_209217,NP_459445,clpX,STM0449,MATCH
189,217,432,lon,b0439,NP_414973,WP_001295325.1,PCLA_431024,WP_001067723.1,PCLA_431024,NP_459446,lon,STM0450,MATCH
190,218,433,hupB,b0440,NP_414974,WP_001043542.1,PCLA_430993,WP_001043544.1,PCLA_430993,NP_459447,hupB,STM0451,MATCH
192,220,435,ybaV,b0442,NP_414976,WP_000680312.1,PCLA_879668,WP_000680322.1,PCLA_879668,NP_459449,ybaV,STM0453,MATCH
